0000, eb5e
06ee, cff3
06ef, 47fd
06f0, 8499
06f1, 655f
06f2, 87c7
06f3, c67d
06f4, 10a5
06f5, c28d
06f6, 8d6a
06f7, 6fac
06f8, 1d1b
06f9, 8281
06fa, 6832
06fb, c710
06fc, 86b1
06fd, c348
06fe, cef3
06ff, 19f4
0700, b809
0701, 366f
0702, 277e
0703, 366e
0704, 277f
0705, dd29
0706, 12af
0707, 0f7f
0708, 421e
0709, 5db1
070a, f2c9
070b, 07ff
070c, 86ef
070d, c919
070e, 6edf
070f, 5ab9
0710, cbf0
0711, c0c5
0712, 442b
0713, 37c7
0714, c297
0715, e52a
0716, 4d6a
0717, cc2b
0718, ed1b
0719, f59b
071a, c862
071b, 449a
071c, 4710
071d, 6318
071e, 6f1c
071f, 665a
0720, be64
0721, d075
0722, 8062
0723, 6508
0724, b5cf
0725, 6f18
0726, 8e7c
0727, d46f
0728, 84b2
0729, 88d5
072a, d872
072b, 631c
072c, 8985
072d, d0b2
072e, d8b5
072f, b914
0730, d221
0731, 6965
0732, bfe2
0733, c504
0734, de99
0735, ba4a
0736, e406
0737, d929
0738, 4ebd
0739, d737
073a, 346b
073b, b8ac
073c, 89b3
073d, f5db
073e, ced5
073f, d691
0740, d240
0741, f76f
0742, 8b4e
0743, 0009
0744, dec7
0745, 8916
0746, 5103
0747, d647
0748, bfb4
0749, 6cad
074a, 3164
074b, 8ec1
074c, 27bf
074d, 60d4
074e, cfdf
074f, d9c0
0750, c1f1
0751, 960c
0752, 118e
0753, 9607
0754, c179
0755, 408f
0756, 7e5a
0757, c0f9
0758, 2e22
0759, f09e
075a, 9b57
075b, 419f
075c, 762c
075d, 95b7
075e, 0ebc
075f, c071
0760, 01e0
0761, c50f
0762, 71db
0763, 367d
0764, 0fa2
0765, 204a
0766, 4e5f
0767, 00e8
0768, eef4
0769, 903b
076a, fe0e
076b, 71ca
076c, 46b1
076d, 358d
076e, 6e83
076f, 07aa
0770, 8872
0771, aacf
0772, 5577
0773, 6379
0774, ea9a
0775, ab82
0776, ed91
0777, 387a
0778, e88e
0779, be8c
077a, adae
077b, a6fa
077c, ea8f
077d, a31e
077e, d81f
077f, ea82
0780, dd20
0781, 096f
0782, 8227
0783, c3c2
0784, dd97
0785, 8cf0
0786, 8f65
0787, d727
0788, 18d8
0789, 665b
078a, d464
078b, 8b9a
078c, 10dc
078d, 05d4
078e, 0e1f
078f, d790
0790, 8462
0791, d57f
0792, e90e
0793, d062
0794, e5ca
0795, 6e89
0796, 58ca
0797, 346a
0798, 5fd7
0799, 84bf
079a, ae7e
079b, 3581
079c, b31c
079d, a9be
079e, d4bf
079f, 8512
07a0, dd41
07a1, 3705
07a2, 88f9
07a3, d908
07a4, ddc9
07a5, 8381
07a6, 5250
07a7, d349
07a8, 54bb
07a9, 6a9e
07aa, 315b
07ab, 8d7f
07ac, 5cb5
07ad, 30bb
07ae, 6fb5
07af, d3c1
07b0, 7472
07b1, f77f
07b2, 2992
07b3, f77e
07b4, 2c9a
07b5, 02f2
07b6, 1f91
07b7, 947a
07b8, 4ff9
07b9, 228a
07ba, f19e
07bb, 09fa
07bc, 17ff
07bd, f08e
07be, cf8f
07bf, 2c82
07c0, 1404
07c1, 00cc
07c2, 4954
07c3, 976b
07c4, 4971
07c5, f28e
07c6, 2fac
07c7, f406
07c8, 2fe8
07c9, 42b6
07ca, 9fc7
07cb, f9ff
07cc, 271a
07cd, 90db
07ce, 0fd5
07cf, 1989
07d0, 8fc4
07d1, acc5
07d2, b379
07d3, 69c4
07d4, eacf
07d5, a184
07d6, ebcf
07d7, 68cf
07d8, 8e19
07d9, bf83
07da, abc2
07db, aa8f
07dc, ec13
07dd, d512
07de, d415
07df, e714
07e0, 6be1
07e1, 9773
07e2, 444e
07e3, 977d
07e4, c4ce
07e5, e5df
07e6, 7d5f
07e7, cc4e
07e8, 2dbe
07e9, 353e
07ea, 9d09
07eb, 44cf
07ec, 77f3
07ed, 03b9
07ee, 0f83
07ef, 6561
07f0, 18c8
07f1, 650c
07f2, 476b
07f3, f67b
07f4, 10cc
07f5, 3dd7
07f6, 427a
07f7, cf65
07f8, 42bb
07f9, 4d10
07fa, c472
07fb, f71a
07fc, e6ba
07fd, c9b8
07fe, ce85
07ff, 83d2
0800, 2f21
0801, 5083
0802, f831
0803, 38e1
0804, a0b3
0805, 4014
0806, ffc9
0807, 505d
0808, f04e
0809, 4fad
080a, 587f
080b, 436f
080c, 336f
080d, 58fe
080e, a09d
080f, 9fb9
0810, 4b8a
0811, 492a
0812, ad70
0813, affa
0814, 3cb0
0815, 278b
0816, 9857
0817, 460b
0818, a3fb
0819, 5177
081a, e450
081b, 2a0a
081c, 9090
081d, 4e2b
081e, f597
081f, f2b7
0820, b241
0821, b6e1
0822, 253d
0823, a53d
0824, 06e1
0825, 94ee
0826, 5ea1
0827, b6ad
0828, 54ee
0829, 2e41
082a, 72a1
082b, a9e6
082c, 5946
082d, 72ed
082e, 06ad
082f, 024d
0830, be83
0831, 7621
0832, 2554
0833, 955d
0834, 95b1
0835, a2bd
0836, b206
0837, 557d
0838, 7bbd
0839, 2bb6
083a, 7e5f
083b, a923
083c, 5926
083d, bef4
083e, d69d
083f, 0eb9
0840, 7415
0841, 7910
0842, 5c6b
0843, 9937
0844, 96dc
0845, 02e2
0846, 5465
0847, 7562
0848, 54eb
0849, 22da
084a, 7e6a
084b, dce5
084c, 29dc
084d, 7be7
084e, 0cab
084f, 9218
0850, e1b6
0851, e0b3
0852, 983f
0853, 98e1
0854, 6026
0855, 7ae9
0856, 9d39
0857, e054
0858, 0ade
0859, 2d6e
085a, e153
085b, 7331
085c, 936f
085d, 81bd
085e, 305d
085f, 6124
0860, 2dd0
0861, 50e0
0862, ae93
0863, aef6
0864, a0e5
0865, 26be
0866, 0b0e
0867, 2338
0868, d68d
0869, 5b7d
086a, b160
086b, 255f
086c, 9551
086d, 7ddb
086e, 933b
086f, a1db
0870, 1d2a
0871, 108a
0872, 870b
0873, 3397
0874, cabc
0875, 3fb8
0876, ed9c
0877, 1352
0878, 8d87
0879, ef20
087a, 117c
087b, 3725
087c, e38c
087d, 1ff2
087e, c797
087f, c8b7
0880, bf8c
0881, 77f0
0882, 2a0b
0883, 9397
0884, 03bc
0885, 91b7
0886, 5f50
0887, b378
0888, 282b
0889, 2d8a
088a, 7d5a
088b, a7b0
088c, 202a
088d, bdfb
088e, d797
088f, 0f88
0890, 8b40
0891, 1c4a
0892, 166b
0893, 3937
0894, c5ec
0895, 34eb
0896, 8bca
0897, 85a8
0898, 82d7
0899, 4ee0
089a, 14ac
089b, 6cd0
089c, e54a
089d, 14e8
089e, cc3b
089f, cbe7
08a0, 78df
08a1, 73d1
08a2, 5034
08a3, a03d
08a4, 9ae1
08a5, d1e4
08a6, 5133
08a7, 236e
08a8, b1dd
08a9, 51d6
08aa, 7d6f
08ab, d0e6
08ac, 50d3
08ad, 78e9
08ae, 0a3e
08af, 9dd9
08b0, 5420
08b1, 558c
08b2, cd0a
08b3, fffa
08b4, ac25
08b5, 43b2
08b6, f192
08b7, bc0b
08b8, c787
08b9, 4857
08ba, 5b9c
08bb, 4a5c
08bc, f07c
08bd, bb87
08be, a597
08bf, a4b8
08c0, 4e26
08c1, e5f1
08c2, 6bc0
08c3, f4e0
08c4, 6cb6
08c5, 45e7
08c6, c2c7
08c7, 160d
08c8, ccdb
08c9, eeab
08ca, 8b71
08cb, 166a
08cc, f9aa
08cd, 82be
08ce, 395e
08cf, 342d
08d0, 1146
08d1, 83d1
08d2, e03d
08d3, 30ad
08d4, c3d1
08d5, ffd9
08d6, e8cf
08d7, 1a3e
08d8, e84e
08d9, 4fe1
08da, 1fc1
08db, 30d3
08dc, e013
08dd, 114e
08de, 6a3e
08df, cf1d
08e0, 42d1
08e1, 49df
08e2, 9b6a
08e3, 9440
08e4, 6ce3
08e5, 7c48
08e6, 9e62
08e7, ec6d
08e8, 95e7
08e9, 22cb
08ea, e463
08eb, 763c
08ec, 99c5
08ed, e4ed
08ee, f93e
08ef, c2e9
08f0, 484a
08f1, e040
08f2, aea6
08f3, 9e46
08f4, 30e0
08f5, 294d
08f6, 94ae
08f7, 433b
08f8, 99ed
08f9, 54ae
08fa, e8aa
08fb, 2531
08fc, a531
08fd, efe7
08fe, 333b
08ff, ffe7
0900, 1274
0901, 0ef5
0902, 47a8
0903, 3659
0904, df9f
0905, b28a
0906, 7d8d
0907, c1c5
0908, ede2
0909, 42f3
090a, 03f4
090b, b77e
090c, 067b
090d, 6ad2
090e, 6bbf
090f, b492
0910, e19e
0911, d7cc
0912, 89ae
0913, 3799
0914, ec9a
0915, df47
0916, e29c
0917, 32a1
0918, e249
0919, 8ff1
091a, 6272
091b, 69fa
091c, 574c
091d, 6c19
091e, 618f
091f, 5747
0920, 1d72
0921, 6665
0922, 7a79
0923, d608
0924, 76cf
0925, cb89
0926, 8d65
0927, cdcf
0928, bdb4
0929, 7b8c
092a, db64
092b, ca1c
092c, 86b3
092d, 6ad4
092e, 6db5
092f, 1612
0930, 2b3b
0931, 0a05
0932, 4d8f
0933, c664
0934, 2689
0935, fb2b
0936, 731a
0937, 2dc9
0938, c37e
0939, 4be6
093a, 0571
093b, 9d12
093c, 16b5
093d, 0811
093e, 0bd5
093f, 2a2b
0940, 225e
0941, 084f
0942, 4c57
0943, 0762
0944, 9eca
0945, 4881
0946, 1e49
0947, 915a
0948, 12b2
0949, 21ea
094a, 0542
094b, 45ce
094c, c399
094d, 07b2
094e, 02bf
094f, 28ce
0950, 4b57
0951, 6e43
0952, 7145
0953, f652
0954, 8f79
0955, ee43
0956, 309e
0957, 21c8
0958, 90c8
0959, 1e2a
095a, 61f1
095b, e181
095c, 66cd
095d, 0f10
095e, cbbc
095f, eecd
0960, ebad
0961, 6675
0962, 81ff
0963, 36a4
0964, 5712
0965, 6efb
0966, 501c
0967, e179
0968, 3079
0969, 8e46
096a, d0ca
096b, d142
096c, e6f5
096d, 6f81
096e, 6b13
096f, e6fb
0970, b264
0971, 6fef
0972, 14b1
0973, 6ac2
0974, 1d97
0975, 7823
0976, d65b
0977, 1467
0978, 697d
0979, 81d5
097a, 6d20
097b, 7bfa
097c, d059
097d, 6410
097e, db1f
097f, 1834
0980, 2dae
0981, 067f
0982, 46ae
0983, ca79
0984, 2a9a
0985, 9d47
0986, 1b7c
0987, 9baa
0988, 1b19
0989, 4df1
098a, 0d72
098b, f6fa
098c, 7a1c
098d, 0612
098e, 0d1f
098f, 26fe
0990, 1d64
0991, dc6f
0992, 7e8a
0993, d709
0994, 1517
0995, cdd8
0996, 85b6
0997, 1877
0998, d50b
0999, 7db3
099a, 6560
099b, ce8e
099c, 87dc
099d, 68b0
099e, 61df
099f, 76d4
09a0, 515b
09a1, 0ee5
09a2, 21dc
09a3, 6c08
09a4, 78c9
09a5, 4ed6
09a6, ca9e
09a7, 2209
09a8, 0067
09a9, e220
09aa, 0d41
09ab, 188f
09ac, c534
09ad, 04b1
09ae, d1b5
09af, 2e6b
09b0, 1d62
09b1, 0f23
09b2, 4483
09b3, f7a2
09b4, b297
09b5, bd86
09b6, 959b
09b7, 147d
09b8, 3509
09b9, 4dec
09ba, 0bf0
09bb, 54fa
09bc, 070d
09bd, 6eb1
09be, c11c
09bf, b894
09c0, bd74
09c1, c765
09c2, 548c
09c3, 9754
09c4, 898e
09c5, 3d48
09c6, 4583
09c7, b477
09c8, 9578
09c9, 5df3
09ca, c576
09cb, 3489
09cc, 47e5
09cd, 0e80
09ce, 01b3
09cf, 8a18
09d0, 1262
09d1, 6825
09d2, 1762
09d3, 6c74
09d4, c8af
09d5, 7efc
09d6, b824
09d7, 026f
09d8, 8118
09d9, 12bf
09da, 63e4
09db, 7399
09dc, d558
09dd, dc14
09de, 6215
09df, 1892
09e0, 21ab
09e1, 6fff
09e2, 199b
09e3, 97a8
09e4, 34c1
09e5, efff
09e6, 821e
09e7, f290
09e8, 42f8
09e9, 7f40
09ea, 6949
09eb, e9a9
09ec, 677e
09ed, cc88
09ee, 0115
09ef, ef7e
09f0, b272
09f1, c673
09f2, 5799
09f3, 9698
09f4, 87cc
09f5, 32f9
09f6, 4da5
09f7, d17f
09f8, 2df4
09f9, 52fc
09fa, cdc8
09fb, 374c
09fc, 46f3
09fd, 0a84
09fe, 0b85
09ff, 8c89
0a00, 84f6
0a01, 3354
0a02, de31
0a03, de21
0a04, 5354
0a05, 4898
0a06, 9548
0a07, 80ab
0a08, d327
0a09, 8e37
0a0a, eee4
0a0b, f8a3
0a0c, 9843
0a0d, 84fb
0a0e, d0ab
0a0f, 5e25
0a10, 3a54
0a11, 15f1
0a12, 9648
0a13, 6ffa
0a14, eb55
0a15, 9693
0a16, d4ae
0a17, ebe4
0a18, 604e
0a19, 9d43
0a1a, 18aa
0a1b, 9d98
0a1c, 69aa
0a1d, 78fe
0a1e, 0597
0a1f, 5ae5
0a20, 4df0
0a21, 26f6
0a22, 833d
0a23, d33d
0a24, 9646
0a25, 6eeb
0a26, b850
0a27, 4aad
0a28, beeb
0a29, 8820
0a2a, 2d90
0a2b, d5e6
0a2c, b526
0a2d, 2b4b
0a2e, 9aad
0a2f, fb4b
0a30, 0c68
0a31, 5646
0a32, a364
0a33, c33d
0a34, 7586
0a35, 572c
0a36, 164c
0a37, 03cd
0a38, ca92
0a39, ac32
0a3a, ec1c
0a3b, 55b3
0a3c, 75e6
0a3d, 3772
0a3e, 3aad
0a3f, 77b5
0a40, d609
0a41, 3077
0a42, 51f8
0a43, c937
0a44, 7e48
0a45, da6d
0a46, 4849
0a47, bdb2
0a48, 74ee
0a49, ac94
0a4a, ef1e
0a4b, bbdb
0a4c, f392
0a4d, 224d
0a4e, fcab
0a4f, 03a4
0a50, 3692
0a51, 9354
0a52, aebf
0a53, 0ee1
0a54, 335d
0a55, 02d0
0a56, 318a
0a57, a0c8
0a58, c245
0a59, 91fc
0a5a, 9677
0a5b, 9846
0a5c, 3843
0a5d, cc59
0a5e, 603b
0a5f, 6c6e
0a60, 3c39
0a61, 13e0
0a62, 9813
0a63, 6846
0a64, 53d5
0a65, 9755
0a66, 6cac
0a67, 3304
0a68, 61fc
0a69, 92e5
0a6a, 16ff
0a6b, 9573
0a6c, d5a6
0a6d, 0692
0a6e, 035d
0a6f, ec2c
0a70, 2241
0a71, 996b
0a72, 8245
0a73, d397
0a74, 1885
0a75, efef
0a76, aa6d
0a77, ebdc
0a78, dc94
0a79, be41
0a7a, 03c4
0a7b, edb0
0a7c, a932
0a7d, a609
0a7e, 9797
0a7f, 4fd6
0a80, 0ac4
0a81, ec4a
0a82, 5be8
0a83, c397
0a84, 7d75
0a85, 5623
0a86, 7ea1
0a87, 7b18
0a88, 184e
0a89, aa34
0a8a, 52a1
0a8b, 5d55
0a8c, 154a
0a8d, e14e
0a8e, 3797
0a8f, 7683
0a90, 41e6
0a91, 2720
0a92, 8d25
0a93, d937
0a94, fb18
0a95, d4ee
0a96, b623
0a97, 4d85
0a98, da34
0a99, 8fe1
0a9a, 2683
0a9b, 6be8
0a9c, b02a
0a9d, 9ac4
0a9e, 9c3b
0a9f, 92ed
0aa0, 0772
0aa1, 33cd
0aa2, a974
0aa3, d93d
0aa4, 0aad
0aa5, dc67
0aa6, fa77
0aa7, d50e
0aa8, cc32
0aa9, aa92
0aaa, 6072
0aab, a33d
0aac, f334
0aad, fcc8
0aae, 963e
0aaf, 0938
0ab0, 884a
0ab1, 3939
0ab2, 8b32
0ab3, 0ffa
0ab4, 5bb0
0ab5, 4f34
0ab6, 9d16
0ab7, 82f3
0ab8, db2f
0ab9, 74ae
0aba, 3a0d
0abb, 4d7b
0abc, 94e5
0abd, d7a8
0abe, 6597
0abf, 5f2f
0ac0, bf21
0ac1, 892a
0ac2, 1d98
0ac3, 04e0
0ac4, 6b24
0ac5, 79ed
0ac6, 0693
0ac7, bb25
0ac8, 0d43
0ac9, 1f3d
0aca, bae5
0acb, 1648
0acc, 0050
0acd, 6a54
0ace, 693e
0acf, 6fe7
0ad0, ebea
0ad1, 93cd
0ad2, b9ad
0ad3, d99d
0ad4, 43cd
0ad5, e825
0ad6, 5ee8
0ad7, 563e
0ad8, bffb
0ad9, 8440
0ada, 2e1b
0adb, e334
0adc, a334
0add, 5d27
0ade, a65e
0adf, 4880
0ae0, a7a8
0ae1, 9592
0ae2, aa22
0ae3, c440
0ae4, 8bdd
0ae5, 0d16
0ae6, 3049
0ae7, e2f8
0ae8, 094d
0ae9, ab2f
0aea, 28f9
0aeb, 061b
0aec, 3ffc
0aed, 1fe7
0aee, c95e
0aef, 6a0d
0af0, be20
0af1, b3e0
0af2, c8a6
0af3, 0846
0af4, 63e0
0af5, 154b
0af6, 089b
0af7, b35d
0af8, 054b
0af9, 189b
0afa, 8e50
0afb, 75a6
0afc, 0596
0afd, 8eed
0afe, 635d
0aff, 6e2d
0b00, 72ba
0b01, 5cf5
0b02, c1c6
0b03, 6dba
0b04, 972f
0b05, 47f8
0b06, 3d39
0b07, 770e
0b08, 6ade
0b09, 117b
0b0a, 5193
0b0b, 47a3
0b0c, 3a5c
0b0d, b18d
0b0e, dc7b
0b0f, 9222
0b10, 284c
0b11, 77da
0b12, af9c
0b13, d281
0b14, f92c
0b15, 29f4
0b16, 017b
0b17, 4592
0b18, d787
0b19, 5499
0b1a, 120a
0b1b, 2095
0b1c, 0c76
0b1d, 1b87
0b1e, 0ac7
0b1f, 9fe2
0b20, 844c
0b21, 85ec
0b22, 76ce
0b23, 666b
0b24, 0943
0b25, c2d7
0b26, b2c6
0b27, b9a9
0b28, bbdd
0b29, 1b1a
0b2a, be3f
0b2b, 0cd1
0b2c, 8c10
0b2d, 7e44
0b2e, c5a8
0b2f, c448
0b30, 5880
0b31, 732c
0b32, 2b81
0b33, 0a0b
0b34, 0484
0b35, af28
0b36, 2921
0b37, b48f
0b38, 959e
0b39, 2825
0b3a, 7cf6
0b3b, 92be
0b3c, b7b0
0b3d, dc9e
0b3e, d398
0b3f, 98b7
0b40, 2f16
0b41, 7713
0b42, 2932
0b43, 076e
0b44, 9c40
0b45, 0fee
0b46, 223c
0b47, 29cb
0b48, 72d7
0b49, 2fef
0b4a, 72c5
0b4b, 09ea
0b4c, 27ef
0b4d, 7448
0b4e, 00a4
0b4f, 914d
0b50, e4e3
0b51, ece3
0b52, 21cd
0b53, 0bda
0b54, c129
0b55, 75e7
0b56, 90c3
0b57, 41b1
0b58, 9f46
0b59, 2e32
0b5a, 40bf
0b5b, 7744
0b5c, 963c
0b5d, f05e
0b5e, 6c6d
0b5f, 64ed
0b60, 4e25
0b61, 8cb0
0b62, 527e
0b63, dd80
0b64, 91d7
0b65, 2322
0b66, 9996
0b67, 2d1a
0b68, a4f1
0b69, 5898
0b6a, 20ea
0b6b, 2c8d
0b6c, 0a0a
0b6d, 93a7
0b6e, c60b
0b6f, 3428
0b70, 18ef
0b71, 171f
0b72, 4f2a
0b73, 6ace
0b74, cf8b
0b75, 31e4
0b76, e085
0b77, 11f0
0b78, 309b
0b79, 81d6
0b7a, 83ba
0b7b, ffb2
0b7c, ea4f
0b7d, 6a57
0b7e, c0a9
0b7f, cdd9
0b80, 5481
0b81, 79f3
0b82, 2392
0b83, 067e
0b84, 9080
0b85, 9429
0b86, 710a
0b87, 5077
0b88, 7d87
0b89, 2eff
0b8a, 7f95
0b8b, 902c
0b8c, 7cb1
0b8d, bff2
0b8e, d999
0b8f, 948d
0b90, be43
0b91, 794f
0b92, 4e4a
0b93, dc6e
0b94, c24b
0b95, d2dd
0b96, e940
0b97, 824a
0b98, 353b
0b99, 7bd6
0b9a, 86ea
0b9b, f4e7
0b9c, b611
0b9d, c6ab
0b9e, 0934
0b9f, 0ee9
0ba0, 2eda
0ba1, 76dc
0ba2, 21d1
0ba3, dc6b
0ba4, 9114
0ba5, d4eb
0ba6, 20df
0ba7, 7f13
0ba8, 903e
0ba9, 54e5
0baa, 7016
0bab, 01e9
0bac, 5ce5
0bad, 07ad
0bae, 0532
0baf, 9be7
0bb0, b1b6
0bb1, 5aff
0bb2, 4f9b
0bb3, c111
0bb4, 94b2
0bb5, 4ae9
0bb6, 330c
0bb7, 242a
0bb8, 382a
0bb9, 1d6e
0bba, 5985
0bbb, 4088
0bbc, f7af
0bbd, a99b
0bbe, da7e
0bbf, a124
0bc0, 1dd0
0bc1, 8a1a
0bc2, e4a7
0bc3, 02d6
0bc4, f42e
0bc5, 76de
0bc6, 353a
0bc7, 4ef1
0bc8, fe40
0bc9, bbcd
0bca, e9f6
0bcb, 494b
0bcc, 0cc1
0bcd, 355d
0bce, 6767
0bcf, 61db
0bd0, 1ff5
0bd1, 8abc
0bd2, 176e
0bd3, 677b
0bd4, c713
0bd5, f122
0bd6, e1a3
0bd7, 10a4
0bd8, 811d
0bd9, 11ba
0bda, 8d6f
0bdb, f7ef
0bdc, e7f5
0bdd, 88e9
0bde, 6352
0bdf, c188
0be0, 4f2f
0be1, 472f
0be2, 94a5
0be3, 0116
0be4, c9e1
0be5, 704d
0be6, 92a8
0be7, 4939
0be8, 0c1b
0be9, 2fa4
0bea, 423f
0beb, 79a0
0bec, 97a3
0bed, 12de
0bee, c70e
0bef, cf2e
0bf0, 1b81
0bf1, 8c86
0bf2, d2c1
0bf3, cb10
0bf4, c7da
0bf5, 1c1b
0bf6, db6e
0bf7, 1ac7
0bf8, 061d
0bf9, 82c7
0bfa, 81c0
0bfb, 7cc6
0bfc, 666a
0bfd, 8ddb
0bfe, 660d
0bff, c2be
0c00, 5e07
0c01, 3a51
0c02, 5359
0c03, 3359
0c04, 5a51
0c05, de27
0c06, 8e31
0c07, a801
0c08, eee9
0c09, 5e2c
0c0a, 3b3e
0c0b, d321
0c0c, 8321
0c0d, 35de
0c0e, 38b1
0c0f, 5627
0c10, 0845
0c11, f976
0c12, 1b8b
0c13, 3999
0c14, 6e52
0c15, bada
0c16, 4fa5
0c17, c5f8
0c18, ef42
0c19, 0acb
0c1a, ffcb
0c1b, 8b0a
0c1c, 49f3
0c1d, 3017
0c1e, 3481
0c1f, d33c
0c20, ee6b
0c21, a976
0c22, e36b
0c23, a36b
0c24, 59c6
0c25, 348d
0c26, e470
0c27, ae66
0c28, eebb
0c29, eeb6
0c2a, af7b
0c2b, 3010
0c2c, 5010
0c2d, a3bb
0c2e, aeb6
0c2f, e91b
0c30, df2c
0c31, a966
0c32, da3b
0c33, f36b
0c34, dc96
0c35, 85fc
0c36, 19bf
0c37, db26
0c38, c579
0c39, 6952
0c3a, c96c
0c3b, b740
0c3c, e0d0
0c3d, ce1c
0c3e, 9ed6
0c3f, d39c
0c40, df43
0c41, f75a
0c42, 8444
0c43, 9907
0c44, d2c8
0c45, 8783
0c46, 2151
0c47, d948
0c48, 2fbe
0c49, 6094
0c4a, f13e
0c4b, 82c3
0c4c, 2c2a
0c4d, f0de
0c4e, ffba
0c4f, d7c3
0c50, c44f
0c51, 9a51
0c52, 335e
0c53, 9359
0c54, 6301
0c55, 4c4f
0c56, 7cf5
0c57, 6d21
0c58, 9c7b
0c59, ccce
0c5a, 9c75
0c5b, e3bf
0c5c, 7321
0c5d, 0485
0c5e, 98b1
0c5f, cccf
0c60, c425
0c61, f36a
0c62, 93ab
0c63, 33a8
0c64, da3a
0c65, 1c8a
0c66, 4c86
0c67, 0d40
0c68, 3c7e
0c69, cc0b
0c6a, c973
0c6b, 53ea
0c6c, 43ec
0c6d, 648f
0c6e, 3810
0c6f, c99c
0c70, e8ce
0c71, a6aa
0c72, b485
0c73, 35ce
0c74, e788
0c75, adfe
0c76, e783
0c77, 8f78
0c78, 6074
0c79, 5881
0c7a, a7c3
0c7b, a288
0c7c, e641
0c7d, df13
0c7e, ae1a
0c7f, ea4e
0c80, de23
0c81, f96a
0c82, 8e28
0c83, f57e
0c84, df98
0c85, b045
0c86, 4f6a
0c87, d328
0c88, 4817
0c89, d338
0c8a, 946e
0c8b, 8495
0c8c, 49b1
0c8d, 951e
0c8e, fe1a
0c8f, d993
0c90, 546e
0c91, a37a
0c92, 8eb3
0c93, 3907
0c94, 8918
0c95, 3817
0c96, b015
0c97, 8e68
0c98, d368
0c99, efda
0c9a, d973
0c9b, 6484
0c9c, e58a
0c9d, deb3
0c9e, afba
0c9f, 551e
0ca0, de4c
0ca1, 3736
0ca2, 679d
0ca3, a00d
0ca4, d0c6
0ca5, 861f
0ca6, 2cbc
0ca7, d146
0ca8, 0902
0ca9, 65a9
0caa, f70c
0cab, 8086
0cac, 5726
0cad, cfbc
0cae, 3fd6
0caf, d6cc
0cb0, 2f7e
0cb1, fca1
0cb2, 5bba
0cb3, f9a9
0cb4, 56b2
0cb5, 0ffe
0cb6, 8a2f
0cb7, be02
0cb8, 3a0e
0cb9, 2fff
0cba, 3a0f
0cbb, db22
0cbc, 1941
0cbd, 68bf
0cbe, f411
0cbf, 27fe
0cc0, 4f6b
0cc1, f97a
0cc2, 4b86
0cc3, f958
0cc4, 85b9
0cc5, ff42
0cc6, 5ada
0cc7, 1e74
0cc8, 9acb
0cc9, 4fe5
0cca, d36c
0ccb, 3bbe
0ccc, 49fc
0ccd, 0815
0cce, f4b0
0ccf, 4017
0cd0, ef7b
0cd1, a7a6
0cd2, 507d
0cd3, 307d
0cd4, e7a6
0cd5, a2fb
0cd6, e2a6
0cd7, 3fc6
0cd8, e41d
0cd9, 5480
0cda, a2ab
0cdb, a7f6
0cdc, e7f6
0cdd, a91b
0cde, af16
0cdf, e7fb
0ce0, 682f
0ce1, 9c90
0ce2, 8bde
0ce3, 9998
0ce4, 6b69
0ce5, ea2f
0ce6, 7f96
0ce7, 65e9
0ce8, 2ff4
0ce9, 6a0e
0cea, 919d
0ceb, eb3f
0cec, 79f0
0ced, 908d
0cee, 9480
0cef, 6a0f
0cf0, 4e7d
0cf1, a36a
0cf2, 43a8
0cf3, 93a8
0cf4, e36a
0cf5, 3e29
0cf6, ee5c
0cf7, f8c0
0cf8, 4ef8
0cf9, 4ef3
0cfa, 3e07
0cfb, 33ec
0cfc, 53ec
0cfd, f58b
0cfe, 9810
0cff, e5be
0d00, 719d
0d01, d301
0d02, 235e
0d03, a35e
0d04, 7301
0d05, 9f84
0d06, 2f7f
0d07, 0d51
0d08, 2ffe
0d09, 2ff6
0d0a, 0f7e
0d0b, 93bf
0d0c, 53bf
0d0d, 07fe
0d0e, dd21
0d0f, 708d
0d10, 8472
0d11, cc90
0d12, e67b
0d13, 3997
0d14, 150c
0d15, f28b
0d16, 4e5a
0d17, 6e75
0d18, eefb
0d19, e28a
0d1a, cb57
0d1b, f6ba
0d1c, 49f0
0d1d, 66fb
0d1e, 62fa
0d1f, 1988
0d20, 7bae
0d21, dca6
0d22, 1a3b
0d23, 6a3b
0d24, bc36
0d25, c1e7
0d26, 8daa
0d27, 0b36
0d28, 81e7
0d29, 1d4a
0d2a, dbae
0d2b, 67e0
0d2c, 8740
0d2d, dcee
0d2e, dbe6
0d2f, 7cee
0d30, 7e04
0d31, dc56
0d32, 236b
0d33, 0a3b
0d34, 5906
0d35, dfd8
0d36, bf35
0d37, 9e06
0d38, 78e8
0d39, 78d5
0d3a, d454
0d3b, a0d0
0d3c, b7e0
0d3d, 0524
0d3e, 0b26
0d3f, b9b4
0d40, 7462
0d41, 096a
0d42, 8964
0d43, cc3e
0d44, 5c65
0d45, f2d9
0d46, 8466
0d47, d465
0d48, 82ed
0d49, 14df
0d4a, d46b
0d4b, 3cd3
0d4c, 19d1
0d4d, dceb
0d4e, 02ea
0d4f, 2cd2
0d50, 1809
0d51, c301
0d52, 4359
0d53, f35e
0d54, 4a51
0d55, cd29
0d56, 4d5f
0d57, f801
0d58, 1dbe
0d59, 4db1
0d5a, cd09
0d5b, c321
0d5c, 43bf
0d5d, c329
0d5e, cd21
0d5f, 4ab9
0d60, b8c8
