0000, 3590
06f0, 229e
06f1, f13d
06f2, fa5b
06f3, 424e
06f4, 28e6
06f5, 4f5b
06f6, 2d80
06f7, 4080
06f8, 4096
06f9, b58b
06fa, 2096
06fb, b709
06fc, bf08
06fd, f3f5
06fe, 4830
06ff, 29ee
0700, 1657
0701, ea99
0702, ee01
0703, 4990
0704, 0199
0705, c789
0706, 3afd
0707, 100d
0708, 82e0
0709, c890
070a, 6c80
070b, 3236
070c, 4986
070d, 3e5c
070e, 1b56
070f, 0de1
0710, 7b3a
0711, 9106
0712, 96e1
0713, 36a5
0714, c156
0715, 861e
0716, c150
0717, 20a4
0718, bd1f
0719, ebae
071a, 7736
071b, fdc4
071c, 5678
071d, a63c
071e, bd14
071f, c65a
0720, 6e16
0721, 1cfc
0722, 113d
0723, a521
0724, 08fa
0725, 7c4c
0726, 73ca
0727, 7f2d
0728, afd6
0729, 752c
072a, aeaa
072b, ab9d
072c, a747
072d, dec6
072e, 7d4d
072f, 0856
0730, cab0
0731, abc8
0732, a046
0733, f542
0734, cb1b
0735, 871f
0736, ff6b
0737, bd47
0738, fb97
0739, b34f
073a, b4bb
073b, 3fc1
073c, 3774
073d, 99bd
073e, 8f17
073f, c080
0740, 0f7d
0741, b703
0742, bf01
0743, 63e8
0744, a863
0745, d68c
0746, d7c0
0747, 8eb8
0748, 6d66
0749, 13b9
074a, 5fc5
074b, 5df2
074c, 5387
074d, df9b
074e, dd12
074f, a8e1
0750, 1b09
0751, 5b0b
0752, 55ed
0753, 679e
0754, dbbb
0755, e775
0756, 8bee
0757, 89c6
0758, 1f7e
0759, 88ce
075a, 1068
075b, 0fcb
075c, 074b
075d, 3509
075e, ef7d
075f, d0e0
0760, c087
0761, 70cf
0762, 7b97
0763, 9c30
0764, adcf
0765, 7c59
0766, a0c4
0767, 7768
0768, 7125
0769, 7809
076a, a01f
076b, a168
076c, ace6
076d, ab4a
076e, 7128
076f, ad47
0770, 0eb1
0771, ba3c
0772, be3d
0773, a988
0774, a13c
0775, 17ec
0776, da9e
0777, 1226
0778, 6238
0779, c919
077a, 04c9
077b, 3297
077c, 39e7
077d, de04
077e, 1b47
077f, ad5d
0780, c32a
0781, adfd
0782, ac87
0783, 5348
0784, 7b86
0785, e72e
0786, 9466
0787, be84
0788, fe94
0789, 838e
078a, c426
078b, 31a2
078c, 3c2b
078d, 93b1
078e, e814
078f, 778a
0790, ae77
0791, 17c3
0792, 1891
0793, aab6
0794, 68af
0795, 7049
0796, 25cf
0797, 2428
0798, 4468
0799, 7a29
079a, 4ecf
079b, 9dab
079c, 968d
079d, 72c7
079e, 7b78
079f, 6887
07a0, d5b0
07a1, 3b94
07a2, 3541
07a3, 577d
07a4, 1b74
07a5, b7b3
07a6, 0b6d
07a7, e84d
07a8, 0f9d
07a9, e945
07aa, e2bb
07ab, af64
07ac, a7e4
07ad, 05eb
07ae, bfb1
07af, 104a
07b0, 1746
07b1, e795
07b2, ef9d
07b3, 5330
07b4, 08c5
07b5, 16e9
07b6, 3798
07b7, d6db
07b8, ed55
07b9, dd30
07ba, 677e
07bb, 3d08
07bc, 33e6
07bd, 3f49
07be, 1db8
07bf, 084d
07c0, d086
07c1, 769a
07c2, dd96
07c3, a00c
07c4, adfa
07c5, 705c
07c6, a6f7
07c7, 7c0d
07c8, c8e0
07c9, 7d0c
07ca, 908a
07cb, a836
07cc, a051
07cd, 6d80
07ce, 785d
07cf, 6d86
07d0, 7a79
07d1, 3ef7
07d2, 3a57
07d3, 56b1
07d4, 1d87
07d5, b625
07d6, 0e08
07d7, e448
07d8, 51c6
07d9, e3e3
07da, deb6
07db, a132
07dc, a65b
07dd, 9a48
07de, b122
07df, 1c5c
07e0, c1f0
07e1, 5e06
07e2, fa46
07e3, 663f
07e4, dde6
07e5, e6b3
07e6, 8e50
07e7, 8cab
07e8, 1185
07e9, 8ddf
07ea, 163d
07eb, 0198
07ec, 06e4
07ed, 4af0
07ee, e178
07ef, 7c49
07f0, c830
07f1, 986b
07f2, 97ed
07f3, 40c3
07f4, c1bb
07f5, b67f
07f6, c8be
07f7, b5a7
07f8, b27a
07f9, bbaf
07fa, c7db
07fb, f2c7
07fc, f072
07fd, a709
07fe, be77
07ff, cce0
0800, c32d
0801, 1af5
0802, 1e32
0803, 690f
0804, 64a0
0805, c970
0806, aa32
0807, 15c7
0808, 124f
0809, 1f6c
080a, aa2c
080b, 620b
080c, a94b
080d, ae55
080e, 12bd
080f, 6e27
0810, 7faa
0811, a4dd
0812, a327
0813, 3a35
0814, 7f26
0815, e58e
0816, ce10
0817, e9f4
0818, 848f
0819, ef3e
081a, 75a6
081b, 4ef2
081c, 338b
081d, aaac
081e, 2284
081f, 752a
0820, 1c56
0821, daca
0822, d466
0823, a7fa
0824, 64aa
0825, 791c
0826, 0c91
0827, 70fd
0828, cb89
0829, 78fc
082a, 6c8a
082b, a2a6
082c, a911
082d, 01e9
082e, 721d
082f, 6426
0830, cd90
0831, f2cb
0832, 957d
0833, 57cf
0834, be7b
0835, 8a4f
0836, 7b75
0837, 8ac7
0838, ef7c
0839, 81cf
083a, c6cb
083b, 5897
083c, 5942
083d, 9090
083e, 8147
083f, c370
0840, 77e7
0841, 776c
0842, 7f02
0843, 339a
0844, ff6f
0845, 137a
0846, f702
0847, 16c4
0848, 8d43
0849, 1d9a
084a, 97bf
084b, 6dc1
084c, 6344
084d, ffec
084e, 8e74
084f, 9fb7
0850, 12ca
0851, 6b66
0852, 65e8
0853, 476a
0854, 82b8
0855, 894e
0856, 1b7a
0857, b701
0858, cfea
0859, bf03
085a, 85c4
085b, 6f96
085c, 3776
085d, 6593
085e, 8846
085f, 15b9
0860, 1917
0861, b5c3
0862, c2c1
0863, 93a0
0864, 42af
0865, 79b9
0866, 39c4
0867, 25c8
0868, 2e15
0869, 72c9
086a, 391f
086b, f4db
086c, 9a2d
086d, 6f7a
086e, 2fb8
086f, a217
0870, 76e6
0871, 7a03
0872, 7e08
0873, 393a
0874, 946a
0875, 192a
0876, fa01
0877, 10f1
0878, 828a
0879, 183a
087a, 9cea
087b, 62f4
087c, 6954
087d, fee9
087e, 1211
087f, 9eb6
0880, c1fa
0881, 9ec6
0882, 9a71
0883, 5c6e
0884, ce16
0885, 8a5e
0886, 7d49
0887, 8ca4
0888, e173
0889, 81de
088a, c6f6
088b, 5494
088c, 5ae8
088d, 9c9a
088e, 8484
088f, ca1a
0890, 1c47
0891, e9cf
0892, dfc7
0893, a699
0894, 34cf
0895, 7319
0896, 07c2
0897, 76a8
0898, cd7e
0899, 7df9
089a, 6c7f
089b, 4ec8
089c, a376
089d, 084c
089e, 2e18
089f, 6477
08a0, db9c
08a1, 0bc7
08a2, 0542
08a3, 970f
08a4, e272
08a5, 29ef
08a6, eb4f
08a7, 2967
08a8, 7fbf
08a9, 286f
08aa, d0c2
08ab, 9f07
08ac, f7b7
08ad, 559c
08ae, 28e7
08af, d57c
08b0, c9b1
08b1, 17c9
08b2, 1f98
08b3, 03ff
08b4, 3fce
08b5, d320
08b6, a761
08b7, e3a2
08b8, dd1c
08b9, deac
08ba, 49b3
08bb, 0ddd
08bc, 035b
08bd, afe3
08be, ee2b
08bf, 6f76
08c0, d926
08c1, c3ac
08c2, 1ead
08c3, a9cc
08c4, 92aa
08c5, 73bc
08c6, 6aa7
08c7, 73cd
08c8, c270
08c9, 74cc
08ca, 091a
08cb, af6d
08cc, a5b7
08cd, 6420
08ce, 74bd
08cf, 0216
08d0, d10a
08d1, 0e94
08d2, 0ae4
08d3, 960e
08d4, de71
08d5, 23ee
08d6, ee4a
08d7, 2c64
08d8, 71e3
08d9, 2d6e
08da, d691
08db, f161
08dc, f6b6
08dd, 5a0a
08de, 24e4
08df, daba
08e0, 14dc
08e1, 6e3b
08e2, aa8b
08e3, 46d0
08e4, 1e2d
08e5, 835f
08e6, 1e8f
08e7, ba32
08e8, b12c
08e9, be35
08ea, 13a7
08eb, 31ad
08ec, 3627
08ed, 6a3f
08ee, 848b
08ef, ca10
08f0, c2a0
08f1, 4f68
08f2, a9b6
08f3, 3993
08f4, bf2b
08f5, b58f
08f6, b27e
08f7, 87f7
08f8, 884a
08f9, 8fff
08fa, b5ab
08fb, 4b91
08fc, 4544
08fd, a5c9
08fe, bb87
08ff, c920
0900, 1b0c
0901, 3ff6
0902, 3551
0903, 6bef
0904, 1886
0905, 3b24
0906, 8f40
0907, 3775
0908, 679b
0909, 80b2
090a, 179d
090b, 17fe
090c, 1b34
090d, 350c
090e, 38ae
090f, 105a
0910, 2d6f
0911, 48d8
0912, 4024
0913, 4d2f
0914, 282b
0915, 4d24
0916, b8b5
0917, f72e
0918, 4cdb
0919, 2024
091a, 2c6b
091b, 2c6e
091c, 2d64
091d, 406f
091e, 41de
091f, 202f
0920, d510
0921, 6897
0922, 67ed
0923, 82f8
0924, d147
0925, 51bb
0926, a2a1
0927, f2ff
0928, b5f3
0929, 528b
092a, 7217
092b, 87cf
092c, 886b
092d, 6516
092e, 51cf
092f, dce0
0930, 2a5e
0931, fead
0932, f61b
0933, 2f0b
0934, 2276
0935, 4b1b
0936, 4106
0937, 4100
0938, 2700
0939, 44eb
093a, 2156
093b, b5c9
093c, bbc8
093d, 4ae8
093e, 42a0
093f, 207e
0940, 1a79
0941, f132
0942, fa57
0943, 81c6
0944, 7122
0945, f122
0946, 61c6
0947, 3199
0948, 1a99
0949, 3448
094a, 8478
094b, 7adf
094c, 7132
094d, 6a48
094e, f4dc
094f, 7c5c
0950, edd5
0951, 6e68
0952, 66e8
0953, 6bee
0954, 8eb6
0955, 5bbb
0956, de25
0957, 35b9
0958, 6568
0959, 80b8
095a, e3dd
095b, d565
095c, db0b
095d, 0635
095e, 5260
095f, 86be
0960, 7b9a
0961, adc4
0962, a641
0963, fd1f
0964, 7d14
0965, fd14
0966, 7d1f
0967, f57a
0968, f3a7
0969, 2074
096a, 70c4
096b, b3ca
096c, bdc4
096d, 96fc
096e, feaa
096f, 768a
0970, 152a
0971, 4f07
0972, 45ed
0973, 8bd1
0974, c8e7
0975, 4bbb
0976, 6ff8
0977, 3ffe
0978, 87a9
0979, 3254
097a, 1f16
097b, c70f
097c, cb0b
097d, 6554
097e, 486f
097f, c0e0
0980, 255f
0981, 4bcb
0982, 4772
0983, 2e04
0984, 2d7b
0985, f814
0986, 4f38
0987, 443e
0988, 2a0e
0989, 4e54
098a, 2f5b
098b, b6a5
098c, b1a2
098d, 4554
098e, fbae
098f, 2c7f
0990, 731a
0991, 01a2
0992, 0c87
0993, be94
0994, d874
0995, 5874
0996, 4ec4
0997, fdfa
0998, b69a
0999, fe84
099a, 2e14
099b, eaac
099c, e1a2
099d, a371
099e, 5fca
099f, d74a
09a0, 83ee
09a1, 0ea2
09a2, 0682
09a3, eb6d
09a4, ee17
09a5, 3b74
09a6, 6e06
09a7, 5b00
09a8, d500
09a9, 52eb
09aa, 8de6
09ab, 15c3
09ac, 1b94
09ad, 36b6
09ae, 32ca
09af, e61f
09b0, d1f0
09b1, 3198
09b2, 3a46
09b3, 0185
09b4, 1178
09b5, 3178
09b6, e185
09b7, 5a10
09b8, 0aab
09b9, ec1b
09ba, dcab
09bb, 1ace
09bc, 1198
09bd, 5af0
09be, 34c9
09bf, 1c49
09c0, dd90
09c1, abf1
09c2, 6086
09c3, 3b75
09c4, 7b87
09c5, 5b1b
09c6, cb4c
09c7, f67f
09c8, 40c2
09c9, e67b
09ca, 7697
09cb, b0a3
09cc, 8ba8
09cd, 6090
09ce, fbaf
09cf, d080
09d0, b98e
09d1, 6b92
09d2, 67e2
09d3, 21c6
09d4, 8b72
09d5, 3122
09d6, 3bd6
09d7, 5e0e
09d8, e669
09d9, f448
09da, 8258
09db, 16ff
09dc, 1132
09dd, 4716
09de, 3daf
09df, 87bf
09e0, b8c5
09e1, 6b38
09e2, a788
09e3, a185
09e4, 8b28
09e5, f178
09e6, 1be5
09e7, 3625
09e8, 663b
09e9, bc1b
09ea, 806b
09eb, d60e
09ec, 7198
09ed, a795
09ee, 5d6e
09ef, b71e
09f0, 286e
09f1, 4466
09f2, 4cb8
09f3, 48be
09f4, 2426
09f5, 41bb
09f6, 2420
09f7, 4920
09f8, 4966
09f9, b72b
09fa, 2966
09fb, 2960
09fc, 286b
09fd, fcd5
09fe, 4460
09ff, 2c2e
0a00, 3e80
0a01, 34f9
0a02, 3e51
0a03, 2490
0a04, 239a
0a05, 4551
0a06, 5989
0a07, bfe0
0a08, e30d
0a09, 450c
0a0a, 43f7
0a0b, e25d
0a0c, 2980
0a0d, e551
0a0e, 4f36
0a0f, ee96
0a10, 97f9
0a11, 4436
0a12, 4351
0a13, 00fe
0a14, 6d36
0a15, 3624
0a16, 2f59
0a17, e81e
0a18, 7b83
0a19, 50d3
0a1a, db59
0a1b, adf4
0a1c, 6688
0a1d, f53a
0a1e, 31a8
0a1f, ac86
0a20, 1ed1
0a21, e9fa
0a22, ef36
0a23, 9552
0a24, 773a
0a25, 0ce7
0a26, c3f3
0a27, 02dd
0a28, 9f3b
0a29, 991d
0a2a, 1aa9
0a2b, fe9d
0a2c, fa47
0a2d, 1ef8
0a2e, 0d97
0a2f, 7b36
0a30, 63bd
0a31, 4bfb
0a32, 458d
0a33, 4677
0a34, 6ba2
0a35, 4722
0a36, a16d
0a37, 319d
0a38, ae97
0a39, 3a4b
0a3a, 3e6b
0a3b, 6fa2
0a3c, 6782
0a3d, aaeb
0a3e, 4fd7
0a3f, 6087
0a40, 7292
0a41, 483f
0a42, 4f57
0a43, d35e
0a44, 8793
0a45, f38d
0a46, 61c0
0a47, a166
0a48, dd26
0a49, aae8
0a4a, 70cc
0a4b, eb44
0a4c, e54a
0a4d, 644b
0a4e, fdfb
0a4f, 8f91
0a50, 4909
0a51, 8deb
0a52, 83e0
0a53, 18f5
0a54, f80b
0a55, 9042
0a56, 803b
0a57, c273
0a58, 19ab
0a59, a093
0a5a, b8ee
0a5b, 147b
0a5c, 1c45
0a5d, 8230
0a5e, 92c2
0a5f, f9ed
0a60, 6880
0a61, b69f
0a62, be97
0a63, f909
0a64, 1cc5
0a65, 0656
0a66, 40f2
0a67, dbbe
0a68, 28ee
0a69, 0009
0a6a, 67ab
0a6b, f138
0a6c, fa56
0a6d, 428c
0a6e, 0dd8
0a6f, 119d
0a70, de98
0a71, ff3a
0a72, f256
0a73, 7985
0a74, 8afc
0a75, 4947
0a76, 64fe
0a77, af38
0a78, d25b
0a79, a554
0a7a, 7393
0a7b, ee47
0a7c, eaec
0a7d, 6e54
0a7e, 429d
0a7f, 843d
0a80, aa16
0a81, f2f6
0a82, f981
0a83, 3616
0a84, 0bf1
0a85, f028
0a86, a438
0a87, 34f8
0a88, 4da1
0a89, 3354
0a8a, 6ed6
0a8b, 08f4
0a8c, 0758
0a8d, a354
0a8e, f8d4
0a8f, 0751
0a90, 14cd
0a91, 87ff
0a92, 8ff7
0a93, 9a58
0a94, c7df
0a95, 0041
0a96, c6cc
0a97, 5ed8
0a98, 91d6
0a99, 0326
0a9a, 8ac5
0a9b, fb98
0a9c, f546
0a9d, ce92
0a9e, 0bc4
0a9f, c837
0aa0, 99eb
0aa1, 8b82
0aa2, 858c
0aa3, 8c70
0aa4, 4b98
0aa5, 6744
0aa6, 1dbd
0aa7, 9297
0aa8, 144d
0aa9, f077
0aaa, 986d
0aab, cf22
0aac, c75f
0aad, 13e5
0aae, 6fc4
0aaf, 4546
0ab0, 424a
0ab1, 3195
0ab2, 344d
0ab3, e209
0ab4, 209f
0ab5, 4ae6
0ab6, 3785
0ab7, 2155
0ab8, e008
0ab9, fa30
0aba, 4094
0abb, ed58
0abc, e359
0abd, 898d
0abe, 4108
0abf, 2297
0ac0, 0b5a
0ac1, b3fa
0ac2, 8ef6
0ac3, f30c
0ac4, 1cf9
0ac5, 978d
0ac6, f5f1
0ac7, dde0
0ac8, 24e0
0ac9, 9c90
0aca, 07f6
0acb, ff3d
0acc, f557
0acd, 5289
0ace, 0b3d
0acf, 1d31
0ad0, 93e4
0ad1, e281
0ad2, e95a
0ad3, 862a
0ad4, 4efd
0ad5, 6c5b
0ad6, 1e58
0ad7, fdc1
0ad8, 8116
0ad9, 5676
0ada, 9408
0adb, 7854
0adc, 705e
0add, ca8e
0ade, 61f2
0adf, 4a87
0ae0, 433c
0ae1, 8e56
0ae2, ba89
0ae3, db33
0ae4, f406
0ae5, 0648
0ae6, e536
0ae7, cd8f
0ae8, d7f8
0ae9, 66f5
0aea, b450
0aeb, 1188
0aec, 1653
0aed, 2ff9
0aee, 9d94
0aef, f3e1
0af0, 6030
0af1, 410b
0af2, 4aed
0af3, a0ff
0af4, 6d6b
0af5, 3c7b
0af6, b855
0af7, 8f10
0af8, c21f
0af9, 37a5
0afa, 1b25
0afb, aec2
0afc, a642
0afd, 4930
0afe, 34cd
0aff, 66ed
0b00, 56f5
0b01, eb52
0b02, e653
0b03, d5b4
0b04, 3bf8
0b05, 1ec8
0b06, e602
0b07, 65cb
0b08, 03bf
0b09, 0e15
0b0a, 8b45
0b0b, 02df
0b0c, 0e24
0b0d, eb03
0b0e, 15ae
0b0f, 3648
0b10, f9c9
0b11, 92d2
0b12, 9324
0b13, a22f
0b14, ffad
0b15, b4cd
0b16, 7ebf
0b17, f9a6
0b18, 95d4
0b19, 4f10
0b1a, 2470
0b1b, c3d3
0b1c, ce62
0b1d, 9563
0b1e, baa9
0b1f, fa16
0b20, 5324
0b21, 510b
0b22, 57e8
0b23, def6
0b24, 9d6b
0b25, 2266
0b26, 0bad
0b27, e03c
0b28, d5f0
0b29, ed31
0b2a, 52d2
0b2b, da65
0b2c, df68
0b2d, 0616
0b2e, 2360
0b2f, 90b8
0b30, 505d
0b31, 9744
0b32, 937b
0b33, c436
0b34, 57b4
0b35, e2a1
0b36, f621
0b37, b49b
0b38, bd67
0b39, 8d36
0b3a, fa88
0b3b, c8f2
0b3c, 72a8
0b3d, 995d
0b3e, 88d2
0b3f, 5377
0b40, a011
0b41, 25e9
0b42, 2cef
0b43, 0f8d
0b44, 5a5d
0b45, 1fc2
0b46, d353
0b47, 8dc6
0b48, 5d21
0b49, c2f1
0b4a, 6348
0b4b, 9be8
0b4c, 94b2
0b4d, d710
0b4e, d13b
0b4f, 3742
0b50, a965
0b51, 7c8e
0b52, d525
0b53, d528
0b54, a6e4
0b55, 7468
0b56, 789e
0b57, abe3
0b58, c78b
0b59, a425
0b5a, 963f
0b5b, a14b
0b5c, 6e28
0b5d, de65
0b5e, 7b02
0b5f, a928
0b60, 0cc5
0b61, 5386
0b62, f082
0b63, 9e7f
0b64, 0651
0b65, efad
0b66, 5599
0b67, 5bb3
0b68, 0b4e
0b69, 5470
0b6a, 000a
0b6b, ddf8
0b6c, 72a2
0b6d, f69f
0b6e, edd4
0b6f, 071b
0b70, 6676
0b71, 2deb
0b72, 20ee
0b73, 0e51
0b74, 380b
0b75, d4db
0b76, db27
0b77, 15f9
0b78, 023c
0b79, 1e96
0b7a, 6ba6
0b7b, 9e65
0b7c, 92b8
0b7d, d62a
0b7e, 1965
0b7f, 5c5b
0b80, fc86
0b81, 94c2
0b82, 9974
0b83, ce07
0b84, 5467
0b85, 8fd7
0b86, 9237
0b87, bcf9
0b88, c33a
0b89, b19d
0b8a, f8fd
0b8b, 79a3
0b8c, cfa2
0b8d, 9351
0b8e, e9da
0b8f, 59b1
0b90, 591b
0b91, 59e6
0b92, 5c42
0b93, 72f7
0b94, 90e6
0b95, 2467
0b96, 0388
0b97, ee34
0b98, eda6
0b99, e8fd
0b9a, 0321
0b9b, d808
0b9c, d4c2
0b9d, 9017
0b9e, 2b68
0b9f, 9cb2
0ba0, a956
0ba1, d7e3
0ba2, d37f
0ba3, 6e56
0ba4, 9c82
0ba5, ceab
0ba6, 2c19
0ba7, 2b67
0ba8, 417d
0ba9, 7406
0baa, 46b1
0bab, 6852
0bac, 0214
0bad, d550
0bae, c894
0baf, a57b
0bb0, 409f
0bb1, e35a
0bb2, e785
0bb3, da7b
0bb4, 3346
0bb5, c2a4
0bb6, e20a
0bb7, 0d85
0bb8, d0e4
0bb9, a27f
0bba, 53f0
0bbb, 0d54
0bbc, 0f1b
0bbd, e195
0bbe, 1d98
0bbf, 4084
0bc0, 0063
0bc1, 5bfb
0bc2, 5688
0bc3, 027e
0bc4, 0bd2
0bc5, eed1
0bc6, ed45
0bc7, 5367
0bc8, 03cb
0bc9, 52ba
0bca, ddbf
0bcb, d5a5
0bcc, dea8
0bcd, 509e
0bce, e5dc
0bcf, 0624
0bd0, a3e1
0bd1, d4b2
0bd2, d9b3
0bd3, a44d
0bd4, afc2
0bd5, cfc4
0bd6, 7f8d
0bd7, 730a
0bd8, a4f9
0bd9, 7207
0bda, a231
0bdb, 0fd3
0bdc, 6f22
0bdd, 7a89
0bde, caaf
0bdf, 9a12
0be0, 93df
0be1, 7f1b
0be2, 7a1e
0be3, c91b
0be4, a2d4
0be5, 7262
0be6, 7acb
0be7, a3d2
0be8, 991e
0be9, a2b3
0bea, c2bf
0beb, a4ae
0bec, a47b
0bed, 7fce
0bee, 7363
0bef, a3b4
0bf0, 5360
0bf1, 9654
0bf2, 992b
0bf3, 9f2e
0bf4, fc18
0bf5, 8ed6
0bf6, 9003
0bf7, 4815
0bf8, ab5f
0bf9, 5229
0bfa, f7ce
0bfb, cd02
0bfc, c4d8
0bfd, 9a65
0bfe, b1cb
0bff, 552d
0c00, 6905
0c01, d44b
0c02, d3ef
0c03, 26bd
0c04, a292
0c05, 8bcd
0c06, 7a02
0c07, 37c7
0c08, fcbc
0c09, 38b0
0c0a, 1f4f
0c0b, 51c0
0c0c, 5db7
0c0d, 7e05
0c0e, b0cc
0c0f, 654b
0c10, 5a0f
0c11, f16d
0c12, f6b7
0c13, f81a
0c14, 5e0b
0c15, 2ff8
0c16, 2d70
0c17, 55f4
0c18, f0a6
0c19, 5f53
0c1a, ee4f
0c1b, 27d9
0c1c, 2bd1
0c1d, fccc
0c1e, e53e
0c1f, fa4b
0c20, 9030
0c21, 0ff2
0c22, 095b
0c23, 0855
0c24, 9fd7
0c25, 223b
0c26, ef8c
0c27, f7d2
0c28, 07f2
0c29, fb25
0c2a, 785c
0c2b, e7ac
0c2c, e8dd
0c2d, 5930
0c2e, 293f
0c2f, 952d
0c30, 56a3
0c31, 9ef6
0c32, f616
0c33, ad45
0c34, 5df1
0c35, 8e92
0c36, 7e1e
0c37, 33c7
0c38, a3cb
0c39, 3d7f
0c3a, ee1a
0c3b, c390
0c3c, bdcd
0c3d, 96fe
0c3e, 869c
0c3f, 5384
0c40, 3a9a
0c41, 7121
0c42, 7a53
0c43, 7c54
0c44, 61c1
0c45, 81c1
0c46, 2c34
0c47, 6ac4
0c48, 9a23
0c49, 6143
0c4a, 8143
0c4b, 943a
0c4c, f121
0c4d, 243a
0c4e, 1a9a
0c4f, 6a44
0c50, f6a0
0c51, d2e6
0c52, e0b9
0c53, 8017
0c54, 943d
0c55, b866
0c56, d591
0c57, a596
0c58, 658c
0c59, 4b79
0c5a, 7e80
0c5b, 6230
0c5c, 3b2d
0c5d, ebca
0c5e, c909
0c5f, fc2d
0c60, 996a
0c61, 9bc1
0c62, 9544
0c63, 587a
0c64, 5fc8
0c65, ef98
0c66, d87a
0c67, f701
0c68, 0991
0c69, ffe3
0c6a, 2fb3
0c6b, 759a
0c6c, 2bc1
0c6d, 0993
0c6e, e799
0c6f, 0976
0c70, 3939
0c71, 7f52
0c72, 7555
0c73, 705b
0c74, 6ff4
0c75, 88d6
0c76, 2937
0c77, 67f4
0c78, 975f
0c79, 685e
0c7a, 8f8a
0c7b, f8dc
0c7c, fb2d
0c7d, 2230
0c7e, 87aa
0c7f, 6958
0c80, 57df
0c81, fbad
0c82, f717
0c83, a183
0c84, 52f2
0c85, 8434
0c86, 7b85
0c87, 36a4
0c88, a6f8
0c89, 3123
0c8a, eb1f
0c8b, b6a9
0c8c, b1a1
0c8d, 97ff
0c8e, 83f3
0c8f, 5952
0c90, 9c3a
0c91, 01a1
0c92, 0a84
0c93, 0183
0c94, f4d4
0c95, 2434
0c96, e183
0c97, fad1
0c98, 0aa4
0c99, f123
0c9a, 7123
0c9b, dafa
0c9c, e1a1
0c9d, 5afa
0c9e, 2c3a
0c9f, 9a21
0ca0, a69e
0ca1, de81
0ca2, e61a
0ca3, 1642
0ca4, ae96
0ca5, 2bcd
0ca6, d3a4
0ca7, 95cb
0ca8, 637f
0ca9, 9b45
0caa, ce7e
0cab, 6e9c
0cac, 3d77
0cad, ddf3
0cae, 7590
0caf, 4676
0cb0, 0aff
0cb1, d876
0cb2, d94e
0cb3, 27b1
0cb4, 9da7
0cb5, 2da7
0cb6, 7761
0cb7, 0af7
0cb8, 99ea
0cb9, 511c
0cba, d11c
0cbb, 0f99
0cbc, 5876
0cbd, 7f03
0cbe, 73fc
0cbf, 9382
0cc0, 9360
0cc1, 9e92
0cc2, 034b
0cc3, 51b0
0cc4, 04cd
0cc5, ee02
0cc6, d44f
0cc7, fa02
0cc8, 5cc7
0cc9, fee5
0cca, 74bc
0ccb, 26cc
0ccc, edcd
0ccd, 0a05
0cce, ea95
0ccf, 03b7
0cd0, a7f3
0cd1, eb17
0cd2, e72c
0cd3, 1c54
0cd4, 4ba6
0cd5, 21c1
0cd6, d0f2
0cd7, 9698
0cd8, 6683
0cd9, 9143
0cda, cb8e
0cdb, 3daa
0cdc, 3121
0cdd, d83f
0cde, 26c9
0cdf, 4711
0ce0, 47cc
0ce1, edbd
0ce2, 2c70
0ce3, e721
0ce4, 486d
0ce5, bdd7
0ce6, e6c7
0ce7, 46ad
0ce8, 501a
0ce9, 411c
0cea, bb70
0ceb, 5bd9
0cec, f816
0ced, e16c
0cee, bcd0
0cef, 40b7
0cf0, 5593
0cf1, 9f06
0cf2, f7b6
0cf3, 4b10
0cf4, 5b06
0cf5, 823b
0cf6, 7249
0cf7, 30f7
0cf8, a5fd
0cf9, 328f
0cfa, eb4a
0cfb, c930
0cfc, b8dd
0cfd, f0c9
0cfe, 8030
0cff, 55e8
0d00, 2ed5
0d01, 6b67
0d02, 0627
0d03, 9e50
0d04, 82b2
0d05, 5d57
0d06, cbb0
0d07, 40e0
0d08, a50d
0d09, 265d
0d0a, b56b
0d0b, 150c
0d0c, de37
0d0d, 96d0
0d0e, 3b0c
0d0f, e32f
0d10, 289a
0d11, 4b07
0d12, f657
0d13, 484a
0d14, 2de7
0d15, 4b57
0d16, b84c
0d17, f78a
0d18, 4cf7
0d19, b787
0d1a, 2c97
0d1b, b63c
0d1c, bb01
0d1d, fcfc
0d1e, fb3a
0d1f, 20ea
0d20, d1de
0d21, 3fd8
0d22, 3ab8
0d23, 34b9
0d24, ef2b
0d25, 5156
0d26, 182e
0d27, 5920
0d28, 39d6
0d29, ea26
0d2a, d7db
0d2b, 8739
0d2c, 8106
0d2d, 6c6e
0d2e, 5830
0d2f, ea2e
0d30, 22a0
0d31, 4a44
0d32, 4086
0d33, fe79
0d34, 2a83
0d35, 4d86
0d36, 4cc3
0d37, bc72
0d38, f87f
0d39, b316
0d3a, 21a3
0d3b, 2f92
0d3c, 2d96
0d3d, 45a9
0d3e, 4442
0d3f, 2080
0d40, c8d3
0d41, a3e8
0d42, a721
0d43, af23
0d44, c3b9
0d45, 4851
0d46, 4309
0d47, b6b8
0d48, adee
0d49, b921
0d4a, cd09
0d4b, bd66
0d4c, cf31
0d4d, 4733
0d4e, 4ee8
0d4f, b923
0d50, 8b9c
0d51, fc1d
0d52, 65ed
0d53, 6e8c
0d54, 2a85
0d55, 3d5d
0d56, 5cdc
0d57, 89e4
0d58, 38ba
0d59, 8687
0d5a, e43f
0d5b, b8c6
0d5c, 1e3d
0d5d, 659c
0d5e, 4f48
0d5f, 80e0
0d60, e4cf
0d61, 031d
0d62, 4572
0d63, 384c
